author,total,Start of the Week,Deletions,Additions,Commits
leomurta,80,2014-11-15 22:00:00,0,0,0
leomurta,80,2014-11-22 22:00:00,0,0,0
leomurta,80,2014-11-29 22:00:00,0,0,0
leomurta,80,2014-12-06 22:00:00,0,0,0
leomurta,80,2014-12-13 22:00:00,0,0,0
leomurta,80,2014-12-20 22:00:00,0,0,0
leomurta,80,2014-12-27 22:00:00,0,0,0
leomurta,80,2015-01-03 22:00:00,0,0,0
leomurta,80,2015-01-10 22:00:00,0,0,0
leomurta,80,2015-01-17 22:00:00,0,0,0
leomurta,80,2015-01-24 22:00:00,0,0,0
leomurta,80,2015-01-31 22:00:00,0,0,0
leomurta,80,2015-02-07 22:00:00,0,0,0
leomurta,80,2015-02-14 22:00:00,0,0,0
leomurta,80,2015-02-21 22:00:00,0,0,0
leomurta,80,2015-02-28 21:00:00,0,0,0
leomurta,80,2015-03-07 21:00:00,0,0,0
leomurta,80,2015-03-14 21:00:00,0,0,0
leomurta,80,2015-03-21 21:00:00,0,0,0
leomurta,80,2015-03-28 21:00:00,0,0,0
leomurta,80,2015-04-04 21:00:00,0,0,0
leomurta,80,2015-04-11 21:00:00,0,0,0
leomurta,80,2015-04-18 21:00:00,0,0,0
leomurta,80,2015-04-25 21:00:00,0,0,0
leomurta,80,2015-05-02 21:00:00,0,0,0
leomurta,80,2015-05-09 21:00:00,0,0,0
leomurta,80,2015-05-16 21:00:00,0,0,0
leomurta,80,2015-05-23 21:00:00,0,0,0
leomurta,80,2015-05-30 21:00:00,0,0,0
leomurta,80,2015-06-06 21:00:00,0,0,0
leomurta,80,2015-06-13 21:00:00,0,0,0
leomurta,80,2015-06-20 21:00:00,2,1,1
leomurta,80,2015-06-27 21:00:00,0,0,0
leomurta,80,2015-07-04 21:00:00,0,0,0
leomurta,80,2015-07-11 21:00:00,0,0,0
leomurta,80,2015-07-18 21:00:00,0,0,0
leomurta,80,2015-07-25 21:00:00,0,0,0
leomurta,80,2015-08-01 21:00:00,0,0,0
leomurta,80,2015-08-08 21:00:00,0,0,0
leomurta,80,2015-08-15 21:00:00,0,0,0
leomurta,80,2015-08-22 21:00:00,0,0,0
leomurta,80,2015-08-29 21:00:00,0,0,0
leomurta,80,2015-09-05 21:00:00,0,0,0
leomurta,80,2015-09-12 21:00:00,0,0,0
leomurta,80,2015-09-19 21:00:00,0,0,0
leomurta,80,2015-09-26 21:00:00,0,0,0
leomurta,80,2015-10-03 21:00:00,0,0,0
leomurta,80,2015-10-10 21:00:00,0,0,0
leomurta,80,2015-10-17 21:00:00,0,0,0
leomurta,80,2015-10-24 22:00:00,0,0,0
leomurta,80,2015-10-31 22:00:00,0,0,0
leomurta,80,2015-11-07 22:00:00,0,0,0
leomurta,80,2015-11-14 22:00:00,0,0,0
leomurta,80,2015-11-21 22:00:00,0,0,0
leomurta,80,2015-11-28 22:00:00,0,0,0
leomurta,80,2015-12-05 22:00:00,0,0,0
leomurta,80,2015-12-12 22:00:00,0,0,0
leomurta,80,2015-12-19 22:00:00,0,0,0
leomurta,80,2015-12-26 22:00:00,0,0,0
leomurta,80,2016-01-02 22:00:00,0,0,0
leomurta,80,2016-01-09 22:00:00,0,0,0
leomurta,80,2016-01-16 22:00:00,0,0,0
leomurta,80,2016-01-23 22:00:00,0,0,0
